[32m [INFO] [function toDateString() { [native code] } 13:43:19 GMT+0100 (Midden-Europese standaardtijd)] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: [object Object] | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Save | MESSAGE: File content changed [0m 
[32m [INFO] [Wed Mar 19 2025 13:44:05 GMT+0100 (Midden-Europese standaardtijd)] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: [object Object] | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Save | MESSAGE: File content changed [0m 
[32m [INFO] [03/19/2025 13:48] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: [object Object] | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Save | MESSAGE: File content changed [0m 
[32m [INFO] [03/19/2025 13:49] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Save | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Save | MESSAGE: File content changed [0m 
[32m [INFO] [03/19/2025 13:50] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Save | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Save | MESSAGE: File content changed [0m 
[32m [INFO] [03/19/2025 13:57] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /addFile | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: addFile | MESSAGE: File created [0m 
[32m [INFO] [03/19/2025 13:58] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /addFile | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: addFile | MESSAGE: File created [0m 
[32m [INFO] [03/19/2025 14:04] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /addFile | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: addFile | MESSAGE: File does not exist [0m 
[32m [INFO] [03/19/2025 14:05] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /addFile | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: addFile | MESSAGE: File does not exist [0m 
[32m [INFO] [03/19/2025 14:06] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /addFile | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: addFile | MESSAGE: Path does not exist [0m 
[32m [INFO] [03/19/2025 14:07] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /addFolder | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: addFolder | MESSAGE: Folder created [0m 
[32m [INFO] [03/19/2025 14:08] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Rename | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Rename | MESSAGE: File / Folder renamed [0m 
[32m [INFO] [03/19/2025 14:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: undefined | FUNCTION: undefined | MESSAGE: undefined [0m 
[32m [INFO] [03/19/2025 14:12] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: [object Object] [0m 
[32m [INFO] [03/19/2025 14:13] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: undefinedFailed to move: test/test3 to test/test22. Path does not exist,Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist [0m 
[32m [INFO] [03/19/2025 14:15] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: [object Object] [0m 
[32m [INFO] [03/19/2025 14:15] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: [object Object] [0m 
[32m [INFO] [03/19/2025 14:16] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: [object Object] [0m 
[32m [INFO] [03/19/2025 14:17] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: {"success":[],"failed":["Failed to move: test/test3 to test/test22. Path does not exist","Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist"]} [0m 
[32m [INFO] [03/19/2025 14:18] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE:  [0m 
[32m [INFO] [03/19/2025 14:19] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: ["Failed to move: test/test3 to test/test22. Path does not exist","Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist"] [0m 
[32m [INFO] [03/19/2025 14:20] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: {"success":[],"failed":["Failed to move: test/test3 to test/test22. Path does not exist","Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist"]} [0m 
[32m [INFO] [03/19/2025 14:24] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: Failed to move: test/test3 to test/test22. Path does not exist, Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist [0m 
[32m [INFO] [03/19/2025 14:24] | USER: undefined | IP: ::1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: Failed to move: test/test3 to test/test22. Path does not exist, Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist [0m 
[32m [INFO] [03/19/2025 14:25] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: Failed to move: test/test3 to test/test22. Path does not exist, Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist [0m 
[32m [INFO] [03/19/2025 14:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Move | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Move | MESSAGE: Succes to move: test/test4 to test/test22Failed to move: test/hoihoi.html to test/test4/hoihoi.html. Path does not exist, Failed to move: test/hoii.html to test/test4/hoihoi.html. Path does not exist [0m 
