[32m [INFO] [03/25/2025 14:41] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Error: connect ETIMEDOUT 10.10.10.105:8000 (control socket) [0m 
[32m [INFO] [03/25/2025 14:42] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: RangeError [ERR_SOCKET_BAD_PORT]: Port should be >= 0 and < 65536. Received type string (''). [0m 
[32m [INFO] [03/25/2025 14:43] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 530 Please login with USER and PASS. [0m 
[32m [INFO] [03/25/2025 14:44] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 530 Please login with USER and PASS. [0m 
[32m [INFO] [03/25/2025 14:44] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 530 Please login with USER and PASS. [0m 
[32m [INFO] [03/25/2025 14:45] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: RangeError [ERR_SOCKET_BAD_PORT]: Port should be >= 0 and < 65536. Received type string (''). [0m 
[32m [INFO] [03/25/2025 14:47] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure download [0m 
[32m [INFO] [03/25/2025 14:50] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: TypeError: Cannot read properties of undefined (reading 'startsWith') [0m 
[32m [INFO] [03/25/2025 14:51] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 550 Failed to open file. [0m 
[32m [INFO] [03/25/2025 14:52] | USER: niek | IP: ::1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure download [0m 
[32m [INFO] [03/25/2025 14:53] | USER: niek | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: F:\github\final-cms\server\edit\ftpServices.ts | FUNCTION: Structure | MESSAGE: FTPError: 550 Failed to change directory. [0m 
