[32m [INFO] [04/16/2025 12:02] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Save | FILE: F:\github\final-cms\server\edit\fsServices.ts | FUNCTION: Save | MESSAGE: File does not exist [0m 
[32m [INFO] [04/16/2025 12:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [04/16/2025 12:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email already exists [0m 
[32m [INFO] [04/16/2025 12:10] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Registered succesful [0m 
[32m [INFO] [04/16/2025 12:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [04/16/2025 12:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [04/16/2025 12:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email invalid [0m 
[32m [INFO] [04/16/2025 12:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Registered succesfully [0m 
[32m [INFO] [04/16/2025 15:29] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[32m [INFO] [04/16/2025 15:29] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Incorrect password [0m 
[32m [INFO] [04/16/2025 15:29] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Email does not exist [0m 
[32m [INFO] [04/16/2025 15:32] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [04/16/2025 15:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email invalid [0m 
[32m [INFO] [04/16/2025 15:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Register succesful [0m 
[32m [INFO] [04/16/2025 15:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[32m [INFO] [04/16/2025 15:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Incorrect password [0m 
[32m [INFO] [04/16/2025 15:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Email does not exist [0m 
