[32m [INFO] [04/17/2025 11:21] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [04/17/2025 11:21] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Register succesful [0m 
[32m [INFO] [04/17/2025 11:21] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email already exists [0m 
[32m [INFO] [04/17/2025 11:22] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[32m [INFO] [04/17/2025 11:22] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Incorrect password [0m 
[32m [INFO] [04/17/2025 11:23] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email invalid [0m 
[32m [INFO] [04/17/2025 11:23] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email invalid [0m 
[32m [INFO] [04/17/2025 11:23] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email already exists [0m 
[32m [INFO] [04/17/2025 11:23] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email invalid [0m 
[32m [INFO] [04/17/2025 11:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email invalid [0m 
[32m [INFO] [04/17/2025 11:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Register | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Register | MESSAGE: Email already exists [0m 
[32m [INFO] [04/17/2025 11:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Login | FILE: F:\github\final-cms\server\auth\authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
