[32m [INFO] [06/25/2025 13:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:51] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:51] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: TypeError: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 13:52] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 13:53] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 13:58] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 13:58] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:59] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:59] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:59] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:59] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 13:59] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 14:00] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [06/25/2025 14:01] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:01] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:01] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49744) (control socket) [0m 
[32m [INFO] [06/25/2025 14:02] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:02] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:02] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:03] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:03] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:03] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:04] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49789) (control socket) [0m 
[32m [INFO] [06/25/2025 14:04] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49800) (control socket) [0m 
[32m [INFO] [06/25/2025 14:05] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'host') [0m 
[32m [INFO] [06/25/2025 14:05] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49821) (control socket) [0m 
[32m [INFO] [06/25/2025 14:05] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49830) (control socket) [0m 
[32m [INFO] [06/25/2025 14:06] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49837) (control socket) [0m 
[32m [INFO] [06/25/2025 14:06] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect EHOSTUNREACH 0.0.0.1:11 - Local (10.10.2.17:49844) (control socket) [0m 
[32m [INFO] [06/25/2025 14:20] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect ECONNREFUSED 10.10.2.50:20 (control socket) [0m 
[32m [INFO] [06/25/2025 14:20] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect ECONNREFUSED 10.10.2.50:20 (control socket) [0m 
[32m [INFO] [06/25/2025 14:37] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: connect ECONNREFUSED 10.10.2.50:20 (control socket) [0m 
[32m [INFO] [06/25/2025 14:37] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:41] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:42] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
