[32m [INFO] [07/01/2025 13:36] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [07/01/2025 13:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [07/01/2025 13:48] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [07/01/2025 13:56] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [07/01/2025 14:07] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [07/01/2025 14:07] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [07/01/2025 14:08] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
[32m [INFO] [07/01/2025 14:09] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: undefined [0m 
