[32m [INFO] [07/07/2025 12:31] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Timeout (control socket) [0m 
[32m [INFO] [07/07/2025 12:31] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Timeout (control socket) [0m 
[32m [INFO] [07/07/2025 12:32] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Timeout (control socket) [0m 
[32m [INFO] [07/07/2025 12:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: User launched a task while another one is still running. Forgot to use 'await' or '.then()'? [0m 
[32m [INFO] [07/07/2025 12:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Client is closed because User launched a task while another one is still running. Forgot to use 'await' or '.then()'? [0m 
[32m [INFO] [07/07/2025 12:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: User launched a task while another one is still running. Forgot to use 'await' or '.then()'? [0m 
[32m [INFO] [07/07/2025 12:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Client is closed because User launched a task while another one is still running. Forgot to use 'await' or '.then()'? [0m 
[32m [INFO] [07/07/2025 12:43] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Cannot read properties of undefined (reading 'success') [0m 
[32m [INFO] [07/07/2025 12:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Timeout (control socket) [0m 
[32m [INFO] [07/07/2025 12:46] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Timeout (control socket) [0m 
[32m [INFO] [07/07/2025 12:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Timeout (control socket) [0m 
